Giorno,Transazioni,fb_spent,google_spent,organico,day_week,month,cambio_penusd,ios_14
7/1/2018,0,0,0,32,6,7,3.2889,0
7/2/2018,0,0,0,41,0,7,3.2889,0
7/3/2018,0,0,0,28,1,7,3.285,0
7/4/2018,0,0,0,21,2,7,3.2895,0
7/5/2018,0,0,0,32,3,7,3.285,0
7/6/2018,0,0,0,30,4,7,3.281,0
7/7/2018,0,0,0,28,5,7,3.2059,0
7/8/2018,0,0,0,34,6,7,3.2059,0
7/9/2018,0,0,0,51,0,7,3.275,0
7/10/2018,0,0,0,43,1,7,3.2672,0
7/11/2018,0,0,0,51,2,7,3.278,0
7/12/2018,0,0,0,34,3,7,3.267,0
7/13/2018,0,0,0,53,4,7,3.265,0
7/14/2018,0,0,0,46,5,7,3.265,0
7/15/2018,0,0,0,35,6,7,3.265,0
7/16/2018,0,0,0,49,0,7,3.2665,0
7/17/2018,0,0,0,45,1,7,3.271,0
7/18/2018,0,0,0,49,2,7,3.269,0
7/19/2018,0,0,0,47,3,7,3.273,0
7/20/2018,0,0,0,40,4,7,3.275,0
7/21/2018,0,0,0,44,5,7,3.1839,0
7/22/2018,0,0,0,53,6,7,3.1839,0
7/23/2018,0,0,0,55,0,7,3.2779,0
7/24/2018,0,0,0,54,1,7,3.2706,0
7/25/2018,0,0,0,39,2,7,3.2709,0
7/26/2018,0,0,0,51,3,7,3.2707,0
7/27/2018,0,0,0,41,4,7,3.2685,0
7/28/2018,0,0,0,32,5,7,3.2685,0
7/29/2018,0,0,0,55,6,7,3.2685,0
7/30/2018,0,0,0,66,0,7,3.2647,0
7/31/2018,0,0,0,61,1,7,3.269,0
8/1/2018,0,0,0,72,2,8,3.268,0
8/2/2018,0,0,0,72,3,8,3.272,0
8/3/2018,0,0,0,52,4,8,3.2664,0
8/4/2018,0,0,0,48,5,8,3.2664,0
8/5/2018,0,0,0,59,6,8,3.2664,0
8/6/2018,0,0,0,59,0,8,3.266,0
8/7/2018,0,0,0,76,1,8,3.267,0
8/8/2018,0,0,0,69,2,8,3.267,0
8/9/2018,0,0,0,80,3,8,3.265,0
8/10/2018,0,0,0,68,4,8,3.2785,0
8/11/2018,0,0,0,68,5,8,3.2785,0
8/12/2018,0,0,0,58,6,8,3.2785,0
8/13/2018,0,0,0,78,0,8,3.2854,0
8/14/2018,0,0,0,59,1,8,3.299,0
8/15/2018,0,0,0,56,2,8,3.317,0
8/16/2018,0,0,0,56,3,8,3.3085,0
8/17/2018,0,0,0,44,4,8,3.321,0
8/18/2018,0,0,0,55,5,8,3.321,0
8/19/2018,0,0,0,50,6,8,3.321,0
8/20/2018,0,0,0,64,0,8,3.305,0
8/21/2018,0,0,0,77,1,8,3.298,0
